loss,epoch,val_categorical_accuracy,categorical_accuracy,val_loss
6.967681885,0,0.016899999,0.056524999,5.076508999
4.335138321,1,0.120899998,0.102650002,4.016124725
4.094263554,2,0.040399998,0.164124995,5.443685055
3.989345789,3,0.192900002,0.207874998,3.834095001
3.939606667,4,0.179000005,0.235799998,3.90484643
3.896051645,5,0.247500002,0.25652501,3.62887454
3.863216877,6,0.263599992,0.273999989,3.617981195
3.860073805,7,0.251899987,0.280499995,3.702032089
3.875315905,8,0.257400006,0.287099987,3.696834326
3.850586653,9,0.295599997,0.29550001,3.440815687
3.849994421,10,0.261200011,0.302675009,3.566370726
3.852348089,11,0.263799995,0.305824995,3.670346022
3.836991787,12,0.254599988,0.31220001,3.692136049
3.82689023,13,0.319400012,0.316799998,3.410900831
3.828997612,14,0.295599997,0.319950014,3.490838289
3.824784279,15,0.301899999,0.319550008,3.487694025
3.817736626,16,0.295599997,0.328649998,3.542151928
3.817316294,17,0.314599991,0.328474998,3.445571423
3.814467669,18,0.311399996,0.332599998,3.458320618
3.820479631,19,0.287099987,0.33585,3.594857454
3.497252703,20,0.391000003,0.384824991,2.821130991
3.373471498,21,0.446399987,0.389699996,2.667240143
3.351691008,22,0.439599991,0.400900006,2.685814142
3.365007401,23,0.465799987,0.400474995,2.581318855
3.351639032,24,0.425099999,0.407200009,2.768352032
3.365208149,25,0.463099986,0.40882501,2.635039568
3.371508121,26,0.492399991,0.411599994,2.493094683
3.373509884,27,0.480500013,0.413125008,2.550393581
3.365152836,28,0.479099989,0.416799992,2.592998743
3.367442608,29,0.485100001,0.418725014,2.627702951
3.364745617,30,0.456699997,0.420100003,2.714815378
3.380470276,31,0.477600008,0.422450006,2.645431757
3.378751993,32,0.470200002,0.424225003,2.601507187
3.170886517,33,0.584200025,0.473374993,2.053635359
3.043245792,34,0.542400002,0.485475004,2.131866217
3.010061264,35,0.567200005,0.487424999,2.08388567
3.0020895,36,0.573899984,0.490099996,2.015148878
2.990184069,37,0.574299991,0.491124988,2.048514605
2.993972301,38,0.557500005,0.495200008,2.113295078
2.992692471,39,0.582799971,0.497675002,2.082937956
2.8670609,40,0.656199992,0.534924984,1.699316621
2.781350374,41,0.643100023,0.548300028,1.712552786
2.742911816,42,0.653999984,0.556900024,1.659146905
2.727137804,43,0.649600029,0.556599975,1.679434538
2.708114147,44,0.653699994,0.557449996,1.656655312
2.701997757,45,0.654100001,0.560199976,1.655348778
2.692009211,46,0.647300005,0.564724982,1.658691168
2.609456301,47,0.692700028,0.587975025,1.500240684
2.561702728,48,0.689999998,0.600624979,1.510591984
2.533189535,49,0.703800023,0.605599999,1.447432876
2.502845287,50,0.699800014,0.612824976,1.440516353
2.481133223,51,0.698300004,0.61589998,1.454287887
2.467414618,52,0.6972,0.619825006,1.454403758
2.466643572,53,0.703499973,0.617500007,1.443882465
2.455162764,54,0.70539999,0.625050008,1.431562424
2.445408821,55,0.704100013,0.626250029,1.409199476
2.44214797,56,0.700800002,0.624525011,1.413620234
2.428693771,57,0.702899992,0.627224982,1.397474289
2.433761358,58,0.692700028,0.623650014,1.439015985
2.430951357,59,0.698099971,0.624625027,1.437394977
2.421907187,60,0.694000006,0.629774988,1.501631379
2.366164684,61,0.726100028,0.64577502,1.3263129
2.313215494,62,0.728799999,0.664025009,1.320963502
2.292407274,63,0.728500009,0.663200021,1.325078011
2.294370413,64,0.730499983,0.667424977,1.301527619
2.279086828,65,0.731400013,0.669849992,1.286803365
2.271790266,66,0.727199972,0.669399977,1.328043938
2.261013985,67,0.733799994,0.667975008,1.29711926
2.262171507,68,0.730599999,0.671774983,1.302165389
2.244426489,69,0.730000019,0.677725017,1.291923761
2.240550041,70,0.727100015,0.681424975,1.306456804
2.236463547,71,0.7245,0.672800004,1.318242192
2.234412193,72,0.727599978,0.675225019,1.304761767
2.22934103,73,0.732800007,0.678449988,1.297602177
2.197779655,74,0.740499973,0.688475013,1.247644186
2.178024054,75,0.74089998,0.696174979,1.247819424
2.170885324,76,0.743099988,0.697600007,1.24373138
2.164451838,77,0.744099975,0.697825015,1.232542157
2.15045929,78,0.740400016,0.701399982,1.242483377
2.160279751,79,0.740100026,0.697600007,1.240729928
2.14773035,80,0.742399991,0.700975001,1.24511826
2.135926247,81,0.744400024,0.701349974,1.230002522
2.149462938,82,0.743499994,0.700900018,1.236726522
2.132333279,83,0.742900014,0.706875026,1.234829903
2.124738216,84,0.742799997,0.703700006,1.228761554
2.128259897,85,0.745400012,0.705200016,1.225666285
2.13580513,86,0.739499986,0.703875005,1.234362245
2.126177073,87,0.746200025,0.704074979,1.223893404
2.126617193,88,0.746399999,0.703700006,1.225701809
2.108538151,89,0.747699976,0.707525015,1.207227588
2.10501194,90,0.745800018,0.709249973,1.240905285
2.10657835,91,0.746500015,0.709850013,1.231548786
2.09356451,92,0.743200004,0.713675022,1.222611189
2.117557049,93,0.745100021,0.703299999,1.216869593
2.093324661,94,0.745800018,0.711475015,1.226846814
2.091514111,95,0.744300008,0.715974987,1.218161345
2.084233999,96,0.74940002,0.717175007,1.182484031
2.08475256,97,0.750999987,0.713649988,1.18794322
2.072894335,98,0.751100004,0.715924978,1.196673989
2.078071117,99,0.750400007,0.712750018,1.189401388
