categorical_accuracy,loss,epoch,val_categorical_accuracy,val_loss
0.051174998,6.039942741,0,0.0101,5.505570889
0.1338,3.878126621,1,0.085000001,4.40157938
0.244650006,3.375720024,2,0.126100004,5.029825687
0.337675005,3.06882906,3,0.289799988,3.445242167
0.393350005,2.894008875,4,0.292899996,3.506716013
0.42750001,2.795006514,5,0.2447,3.9565835
0.451249987,2.737919092,6,0.253800005,3.917215586
0.465950012,2.694974422,7,0.281100005,3.631682873
0.48179999,2.645823002,8,0.266000003,4.152921677
0.494349986,2.608566284,9,0.317900002,3.722508907
0.50227499,2.582499504,10,0.283100009,3.758521795
0.50712502,2.556082249,11,0.264800012,4.336169243
0.514675021,2.532138586,12,0.246700004,3.946577072
0.521000028,2.509231329,13,0.340200007,3.435294867
0.526175022,2.494087219,14,0.289000005,3.900482416
0.534399986,2.462240934,15,0.250400007,4.75353241
0.536324978,2.452031136,16,0.331499994,3.540267944
0.546000004,2.429408312,17,0.245399997,4.328415871
0.546175003,2.41283536,18,0.290699989,3.792213202
0.545249999,2.403389931,19,0.281599998,3.901123762
0.627650023,1.925968766,20,0.330199987,3.215690613
0.641550004,1.749871254,21,0.399100006,3.08521843
0.648800015,1.740643978,22,0.458700001,2.663422823
0.653774977,1.737546086,23,0.408699989,3.014591217
0.661024988,1.741486192,24,0.446200013,2.656967878
0.66505003,1.734859228,25,0.425399989,2.990526676
0.667850018,1.748301387,26,0.466699988,2.770258188
0.672375023,1.749138117,27,0.503000021,2.504543543
0.675125003,1.736085176,28,0.368099988,3.404149294
0.677600026,1.743636131,29,0.44600001,2.867965937
0.680299997,1.745911956,30,0.491899997,2.581860542
0.685625017,1.747076511,31,0.438499987,3.040637255
0.686749995,1.753812671,32,0.433699995,2.920538664
0.68690002,1.754502773,33,0.485900015,2.658760071
0.783275008,1.36119318,34,0.517199993,2.354791164
0.825699985,1.10034585,35,0.556200027,2.172995806
0.824625015,1.056211829,36,0.557799995,2.265748262
0.825100005,1.061138749,37,0.512199998,2.681366205
0.831475019,1.062073469,38,0.511200011,2.844873667
0.840025008,1.057761312,39,0.529600024,2.663336515
0.846849978,1.05321753,40,0.515900016,2.859403849
0.850224972,1.06123209,41,0.489499986,2.937933445
0.853600025,1.068772674,42,0.494800001,2.913987398
0.939424992,0.821814835,43,0.629899979,1.966280818
0.991299987,0.604466021,44,0.646200001,1.873438239
0.997500002,0.507524252,45,0.647700012,1.859414458
0.998899996,0.43683219,46,0.647099972,1.830198884
0.999625027,0.377769828,47,0.647899985,1.790094376
0.999825001,0.328106582,48,0.652199984,1.757202744
0.999599993,0.287504822,49,0.65170002,1.729892969
0.99970001,0.251923293,50,0.653900027,1.73704958
0.999750018,0.220198438,51,0.649200022,1.725768805
0.999800026,0.192679718,52,0.652700007,1.710100055
0.999800026,0.168678805,53,0.652499974,1.711447477
0.999774992,0.148354635,54,0.648100019,1.72948277
