epoch,val_loss,categorical_accuracy,loss,val_categorical_accuracy
0,5.14944315,0.045775,7.119164944,0.0119
1,4.421322346,0.094525002,4.378774166,0.065700002
2,4.152065754,0.150525004,4.122861862,0.1131
3,3.560906172,0.199375004,4.010502338,0.225700006
4,3.460247993,0.228524998,3.957055807,0.251399994
5,3.560843468,0.248150006,3.912938356,0.257099986
6,3.550562382,0.268824995,3.882722616,0.253699988
7,3.771547318,0.277500004,3.875039339,0.222900003
8,4.042005539,0.289050013,3.875423908,0.204500005
9,3.404809713,0.297625005,3.861419201,0.306100011
10,3.432115316,0.300399989,3.860610485,0.300700009
11,3.464833498,0.307475001,3.861765623,0.305799991
12,3.289435863,0.31567499,3.844475031,0.340200007
13,3.446964502,0.319299996,3.83763504,0.318800002
14,3.337768793,0.324575007,3.832728863,0.349000007
15,3.266574621,0.329250008,3.825137138,0.357300013
16,3.276085138,0.33860001,3.811781645,0.35620001
17,3.072238684,0.336975008,3.813993454,0.398200005
18,3.338216305,0.338499993,3.815371037,0.343100011
19,3.785913229,0.336950004,3.822675467,0.261999995
20,3.255338907,0.338625014,3.809015989,0.370499998
21,3.321716309,0.342124999,3.820246935,0.346500009
22,3.345542908,0.348049998,3.795499563,0.35769999
23,3.829988956,0.344799995,3.809515953,0.266799986
24,2.812179804,0.400774986,3.477902412,0.398600012
25,2.761476755,0.408425003,3.328974724,0.417199999
26,2.601111412,0.414674997,3.334542274,0.468800008
27,2.659849644,0.418300003,3.32457304,0.451400012
28,2.613183022,0.424050003,3.316050291,0.466800004
29,2.848730564,0.424625009,3.321935892,0.428499997
30,2.661362171,0.428175002,3.323649168,0.457199991
31,2.707805157,0.423925012,3.343217134,0.456900001
32,2.434254408,0.428449988,3.33519268,0.505100012
33,2.495756626,0.431549996,3.338467121,0.504800022
34,2.552647591,0.430400014,3.347440958,0.490700006
35,2.573023319,0.431374997,3.35376215,0.487199992
36,2.820354939,0.440575004,3.34587574,0.417299986
37,2.493773222,0.434749991,3.351275682,0.506699979
38,2.611359596,0.43900001,3.347871065,0.479200006
39,2.696963787,0.441024989,3.351222277,0.467400014
40,2.577979326,0.437599987,3.354596138,0.488599986
41,2.627985477,0.441100001,3.360454321,0.48179999
42,2.657879114,0.443774998,3.36213088,0.487699986
43,2.793724537,0.444499999,3.359576941,0.453900009
44,2.079839706,0.480275005,3.178333282,0.586000025
45,1.938367128,0.500374973,3.025348902,0.605799973
46,2.000971794,0.501999974,2.98881197,0.596000016
47,1.94549644,0.507075012,2.970500708,0.599600017
48,1.969590664,0.505050004,2.976538897,0.600799978
49,1.917066574,0.507250011,2.976310253,0.614000022
50,2.022713661,0.513324976,2.961648464,0.591199994
51,1.94977951,0.513849974,2.963835001,0.61559999
52,2.13566494,0.518850029,2.96558857,0.576799989
53,2.101487398,0.51819998,2.973021269,0.582099974
54,2.122286797,0.518675029,2.980351448,0.573899984
55,2.075502634,0.520799994,2.975708485,0.590200007
56,2.011224508,0.520874977,2.990645409,0.604900002
57,2.006045818,0.523325026,2.982549667,0.607599974
58,1.703009129,0.556375027,2.854061604,0.665799975
59,1.621672392,0.577324986,2.753545761,0.676900029
60,1.656066656,0.581200004,2.713666201,0.671899974
61,1.609122038,0.588524997,2.684444189,0.677999973
62,1.599784136,0.58890003,2.659244061,0.678499997
63,1.635657191,0.594150007,2.648055792,0.666299999
64,1.567849278,0.590600014,2.653548956,0.683899999
65,1.665857434,0.588724971,2.651987314,0.662699997
66,1.604533553,0.591324985,2.641108751,0.679799974
67,1.639238238,0.590749979,2.645629168,0.676699996
68,1.625128031,0.598150015,2.638084888,0.674499989
69,1.673846126,0.598474979,2.6373806,0.672699988
70,1.665312886,0.599224985,2.637319326,0.668299973
71,1.456517339,0.627849996,2.547172308,0.723800004
72,1.413722873,0.638400018,2.491707802,0.725799978
73,1.409597516,0.64835,2.455268621,0.727900028
74,1.419369102,0.652849972,2.433425188,0.722899973
75,1.425485849,0.659375012,2.412876844,0.716000021
76,1.405148029,0.661774993,2.40594244,0.722299993
77,1.374270082,0.658325016,2.399897575,0.726400018
