loss,epoch,val_categorical_accuracy,categorical_accuracy,val_loss
12.09462166,0,0.0294,0.087949999,11.18676472
7.916293144,1,0.050999999,0.172600001,8.271794319
5.743309021,2,0.135800004,0.233600006,6.187846661
4.557378769,3,0.223900005,0.293000013,4.761573792
3.852051973,4,0.266900003,0.346275002,4.259236336
3.395826101,5,0.314799994,0.397424996,3.90118742
3.054503918,6,0.445499986,0.443850011,3.050719261
2.776803493,7,0.432300001,0.492150009,3.061035156
2.54560113,8,0.528100014,0.539250016,2.585434198
2.408940077,9,0.585500002,0.573249996,2.343156099
3.393475294,10,0.190400004,0.351749986,5.072044373
3.172788143,11,0.326900005,0.390424997,3.621667624
3.061450481,12,0.237000003,0.412250012,4.396193981
2.97798562,13,0.172199994,0.430449992,5.229001522
2.912745953,14,0.280999988,0.447174996,3.923777342
2.858435631,15,0.2368,0.465600014,4.484551907
2.78722024,16,0.292899996,0.483049989,3.809880972
2.722524166,17,0.211300001,0.499799997,4.626754761
2.635105133,18,0.411799997,0.522849977,3.209991693
2.548629999,19,0.410400003,0.537800014,3.280830383
2.448952198,20,0.267699987,0.561025023,4.28474617
2.328966379,21,0.433200002,0.585725009,3.114642143
2.205398798,22,0.513400018,0.609899998,2.714171886
2.078989267,23,0.595200002,0.639900029,2.254873753
1.934318185,24,0.603600025,0.672874987,2.20305419
1.789420366,25,0.633599997,0.704575002,2.08406353
1.664157271,26,0.676199973,0.735549986,1.886099219
1.547440648,27,0.695599973,0.76485002,1.79138267
1.48285234,28,0.715600014,0.780099988,1.702435732
1.43658042,29,0.719399989,0.795074999,1.690673828
3.102727175,30,0.306600004,0.441074997,4.438856602
3.054695845,31,0.315200001,0.484499991,4.178746223
3.039508104,32,0.346700013,0.497999996,3.995159388
3.021222591,33,0.390799999,0.502974987,3.689007521
3.014745712,34,0.334399998,0.508099973,3.934571981
2.993154049,35,0.323500007,0.517350018,4.095042229
2.963879585,36,0.275900006,0.524999976,4.7497015
2.946609259,37,0.359200001,0.530174971,3.858100414
2.938937187,38,0.317400008,0.528925002,4.19243288
2.896441936,39,0.451200008,0.542925,3.399112463
2.86999011,40,0.406399995,0.548749983,3.716844082
2.846144199,41,0.482199997,0.554075003,3.279137135
2.804698229,42,0.343699992,0.561999977,3.936264038
2.778267622,43,0.407599986,0.569800019,3.684006214
2.740671635,44,0.443399996,0.574275017,3.357111216
2.6953125,45,0.478199989,0.587899983,3.323778629
2.653923988,46,0.495999992,0.598950028,3.120792389
2.602147102,47,0.568099976,0.605449975,2.785462618
2.535549164,48,0.483200014,0.61877501,3.222800255
2.495842457,49,0.546299994,0.626474977,2.953678608
2.431300163,50,0.58069998,0.638700008,2.709060192
2.366196156,51,0.583199978,0.651674986,2.690638304
2.303020239,52,0.590900004,0.663600028,2.6730721
2.230011225,53,0.611199975,0.678950012,2.523209095
2.147519827,54,0.579200029,0.694525003,2.693981886
2.065700293,55,0.60619998,0.708474994,2.491570711
1.981418133,56,0.630900025,0.727900028,2.425832987
1.890849829,57,0.661199987,0.742250025,2.257916212
1.798905492,58,0.653599977,0.763225019,2.288733482
1.71856916,59,0.696099997,0.777549982,2.052712679
1.620312572,60,0.713400006,0.799799979,1.999456286
1.527199745,61,0.719900012,0.820424974,1.953895092
1.436791658,62,0.726199985,0.839574993,1.901526928
1.355928421,63,0.737999976,0.860175014,1.843948483
1.293507695,64,0.741999984,0.874149978,1.804875374
1.238048673,65,0.751699984,0.886174977,1.769184351
1.196490765,66,0.755100012,0.897674978,1.743306041
1.168535471,67,0.755699992,0.905425012,1.733178139
1.145686507,68,0.758300006,0.911249995,1.728535533
1.133750558,69,0.758000016,0.912400007,1.725375056
3.336240292,70,0.193299994,0.461475015,6.310639858
3.226371288,71,0.367199987,0.524625003,4.129965305
3.178693295,72,0.446099997,0.539674997,3.71591258
3.157470942,73,0.496499985,0.544049978,3.437418699
3.121003866,74,0.430099994,0.550300002,3.740914106
3.096926451,75,0.377600014,0.553825021,4.273501396
3.094969273,76,0.454600006,0.556249976,3.629091501
3.078880072,77,0.450700015,0.558200002,3.734518766
3.070131063,78,0.434199989,0.559199989,3.735732317
3.062073946,79,0.377200007,0.562524974,4.131690502
3.055147648,80,0.426600009,0.566299975,3.780654192
3.047087193,81,0.464899987,0.566775024,3.666902304
3.040852785,82,0.380800009,0.568099976,4.310709953
3.03566432,83,0.433499992,0.569700003,3.864424706
3.02524972,84,0.395799994,0.573774993,4.166309834
3.014870644,85,0.483799994,0.572525024,3.571718454
3.003152847,86,0.468199998,0.579275012,3.626152754
2.992342234,87,0.453599989,0.581049979,3.719085455
2.982210636,88,0.501299977,0.581900001,3.387789726
2.954513311,89,0.446799994,0.58662498,3.64153862
2.946275473,90,0.457700014,0.588400006,3.701215267
2.931450605,91,0.422600001,0.590725005,3.908191442
2.919653893,92,0.416200012,0.593924999,3.963719845
2.919031143,93,0.471199989,0.594200015,3.574378967
2.891257524,94,0.488299996,0.601324975,3.495894909
2.869101286,95,0.512300014,0.60650003,3.381569862
2.85312891,96,0.497299999,0.609224975,3.493696928
2.843876839,97,0.481599987,0.610199988,3.574658871
2.813922882,98,0.500699997,0.614425004,3.444170237
2.790468931,99,0.525200009,0.620225012,3.30344224
2.764296293,100,0.450399995,0.624949992,3.834460974
2.748134851,101,0.447400004,0.626975,3.62895155
2.720835447,102,0.522300005,0.631775022,3.264079571
2.705412865,103,0.573099971,0.6347,3.020494699
